Source;Target;Type;Id;Label;Weight;year
0;1;Undirected;98;;99;
0;2;Undirected;99;;15;
0;3;Undirected;100;;25;
0;4;Undirected;101;;15;
0;5;Undirected;102;;35;
0;6;Undirected;103;;30;
0;7;Undirected;104;;15;
0;8;Undirected;105;;15;
0;9;Undirected;106;;35;
0;10;Undirected;107;;30;
0;11;Undirected;108;;25;
0;12;Undirected;109;;25;
13;0;Undirected;157;;12;
14;0;Undirected;163;;17;
15;0;Undirected;170;;18;
16;0;Undirected;180;;17;
17;0;Undirected;187;;7;
18;0;Undirected;194;;17;
19;0;Undirected;201;;17;
20;0;Undirected;210;;15;
21;0;Undirected;218;;7;
22;0;Undirected;221;;15;

